"id","subSaga","charactersGood","charactersBad","info","anime","extra"
1,"Raditz Saga","Piccolo","Raditz","","",""
2,"Raditz Saga","Krillin","Raditz","","",""
3,"Raditz Saga","Goku","Raditz","","",""
4,"Raditz Saga","Goku, Piccolo and Gohan","Raditz","","",""
5,"Vegeta Saga","Tien Shinhan","Yamcha","training","",""
6,"Vegeta Saga","Krillin","Yajirobe","training","",""
7,"Vegeta Saga","Tien Shinhan, Yamcha, Krillin, and Chiaotzu","Shorty and Scarface","","anime only",""
8,"Vegeta Saga","Piccolo","Clone Piccolo","","anime only",""
9,"Vegeta Saga","Piccolo","Gohan","","",""
10,"Vegeta Saga","Piccolo","Gohan (Great Ape)","","",""
11,"Vegeta Saga","Tien Shinhan","Saibaman","","",""
12,"Vegeta Saga","Yamcha","Saibaman","","",""
13,"Vegeta Saga","Krillin","4 Saibamen","","",""
14,"Vegeta Saga","Piccolo","Saibaman","","",""
15,"Vegeta Saga","Tien Shinhan","Nappa","","",""
16,"Vegeta Saga","Chiaotzu","Nappa","","",""
17,"Vegeta Saga","Piccolo, Krillin, and Gohan","Nappa","","",""
18,"Vegeta Saga","Goku","Nappa","","",""
19,"Vegeta Saga","Goku","Vegeta","","",""
20,"Vegeta Saga","Goku","Vegeta (Great Ape)","","",""
21,"Vegeta Saga","Gohan, Krillin, and Yajirobe","Vegeta (Great Ape)","","",""
22,"Vegeta Saga","Gohan","Vegeta","","",""
23,"Vegeta Saga","Goku, Krillin, and Gohan","Vegeta","","","using a spirit bomb"
24,"Vegeta Saga","Yajirobe","Vegeta","","",""
25,"Vegeta Saga","Gohan (Great Ape)","Vegeta","","",""
26,"Namek Saga","Krillin and Gohan","Banan and Sui","","",""
27,"Namek Saga","Vegeta","Cui","","",""
28,"Namek Saga","Namekians","Zarbon and Dodoria","","",""
29,"Namek Saga","Krillin and Gohan","Dodoria","","",""
30,"Namek Saga","Vegeta","Dodoria","","",""
31,"Namek Saga","Vegeta","Zarbon (base, transformed)","","",""
32,"Namek Saga","Yamcha, Tien Shinhan, and Chiaotzu","Piccolo","","",""
33,"Namek Saga","Vegeta","Zarbon (base, transformed)","rematch","",""
34,"Namek Saga","Gohan and Krillin","Guldo","","",""
35,"Namek Saga","Vegeta, Gohan, and Krillin","Recoome","","",""
