"source","target","family_id","type","min_dist_to_royal"
"I1","I2","F1","wife-husband",4
"I2","I3","F1","father-child",4
"I1","I3","F1","mother-child",4
"I2","I4","F1","father-child",4
"I1","I4","F1","mother-child",4
"I2","I5","F1","father-child",4
"I1","I5","F1","mother-child",4
"I2","I6","F1","father-child",4
"I1","I6","F1","mother-child",4
"I2","I7","F1","father-child",4
"I1","I7","F1","mother-child",4
"I2","I8","F1","father-child",4
"I1","I8","F1","mother-child",4
"I2","I9","F1","father-child",4
"I1","I9","F1","mother-child",4
"I2","I10","F1","father-child",4
"I1","I10","F1","mother-child",4
"I2","I11","F1","father-child",4
"I1","I11","F1","mother-child",4
"I12","I4","F2","wife-husband",3
"I4","I13","F2","father-child",3
"I12","I13","F2","mother-child",3
"I4","I14","F2","father-child",3
"I12","I14","F2","mother-child",3
"I4","I15","F2","father-child",3
"I12","I15","F2","mother-child",3
"I4","I16","F2","father-child",3
"I12","I16","F2","mother-child",3
"I4","I17","F2","father-child",3
"I12","I17","F2","mother-child",3
"I4","I18","F2","father-child",3
"I12","I18","F2","mother-child",3
"I3","I20","F3","wife-husband",4
"I20","I21","F3","father-child",4
"I3","I21","F3","mother-child",4
"I20","I77","F3","father-child",4
"I3","I77","F3","mother-child",4
"I20","I72","F3","father-child",4
"I3","I72","F3","mother-child",4
"I20","I73","F3","father-child",4
"I3","I73","F3","mother-child",4
"I20","I74","F3","father-child",4
"I3","I74","F3","mother-child",4
"I20","I75","F3","father-child",4
"I3","I75","F3","mother-child",4
"I20","I76","F3","father-child",4
"I3","I76","F3","mother-child",4
"I20","I78","F3","father-child",4
"I3","I78","F3","mother-child",4
"I39","I37","F4","wife-husband",5
"I37","I46","F4","father-child",6
"I39","I46","F4","mother-child",5
"I37","I47","F4","father-child",6
"I39","I47","F4","mother-child",5
"I37","I48","F4","father-child",6
"I39","I48","F4","mother-child",5
"I37","I49","F4","father-child",6
"I39","I49","F4","mother-child",5
"I37","I50","F4","father-child",6
"I39","I50","F4","mother-child",5
"I23","I10","F5","wife-husband",6
"I10","I24","F5","father-child",5
"I23","I24","F5","mother-child",6
"I10","I129","F5","father-child",5
"I23","I129","F5","mother-child",6
"I11","I25","F6","wife-husband",4
"I25","I26","F6","father-child",4
"I11","I26","F6","mother-child",4
"I25","I27","F6","father-child",4
"I11","I27","F6","mother-child",4
"I25","I28","F6","father-child",4
"I11","I28","F6","mother-child",4
"I25","I29","F6","father-child",4
"I11","I29","F6","mother-child",4
"I30","I14","F7","wife-husband",2
"I14","I31","F7","father-child",2
"I30","I31","F7","mother-child",2
"I14","I32","F7","father-child",2
"I30","I32","F7","mother-child",2
"I14","I33","F7","father-child",2
"I30","I33","F7","mother-child",2
"I14","I34","F7","father-child",2
"I30","I34","F7","mother-child",2
"I14","I35","F7","father-child",2
"I30","I35","F7","mother-child",2
"I14","I36","F7","father-child",2
"I30","I36","F7","mother-child",2
"I5","I22","F8","wife-husband",4
"I22","I38","F8","father-child",4
"I5","I38","F8","mother-child",4
"I22","I84","F8","father-child",4
"I5","I84","F8","mother-child",4
"I22","I79","F8","father-child",4
"I5","I79","F8","mother-child",4
"I22","I83","F8","father-child",4
"I5","I83","F8","mother-child",4
"I22","I86","F8","father-child",4
"I5","I86","F8","mother-child",4
"I22","I39","F8","father-child",4
"I5","I39","F8","mother-child",4
"I22","I85","F8","father-child",4
"I5","I85","F8","mother-child",4
"I41","I40","F9","wife-husband",5
"I40","I37","F9","father-child",6
"I41","I37","F9","mother-child",5
"I40","I1568","F9","father-child",6
"I41","I1568","F9","mother-child",5
"I40","I153","F9","father-child",6
"I41","I153","F9","mother-child",5
"I40","I154","F9","father-child",6
"I41","I154","F9","mother-child",5
"I40","I155","F9","father-child",6
"I41","I155","F9","mother-child",5
"I40","I156","F9","father-child",6
"I41","I156","F9","mother-child",5
"I43","I42","F10","wife-husband",5
"I42","I44","F10","father-child",5
"I43","I44","F10","mother-child",5
"I42","I353","F10","father-child",5
"I43","I353","F10","mother-child",5
"I42","I2665","F10","father-child",5
"I43","I2665","F10","mother-child",5
"I42","I2666","F10","father-child",5
"I43","I2666","F10","mother-child",5
"I45","I44","F11","wife-husband",6
"I44","I491","F11","father-child",6
"I45","I491","F11","mother-child",6
"I44","I492","F11","father-child",6
"I45","I492","F11","mother-child",6
"I44","I40","F11","father-child",6
"I45","I40","F11","mother-child",6
"I44","I149","F11","father-child",6
"I45","I149","F11","mother-child",6
"I44","I150","F11","father-child",6
"I45","I150","F11","mother-child",6
"I44","I94","F11","father-child",6
"I45","I94","F11","mother-child",6
"I44","I151","F11","father-child",6
"I45","I151","F11","mother-child",6
"I44","I152","F11","father-child",6
"I45","I152","F11","mother-child",6
"I51","I32","F12","wife-husband",1
"I32","I52","F12","father-child",1
"I51","I52","F12","mother-child",1
"I32","I53","F12","father-child",1
"I51","I53","F12","mother-child",1
"I53","I54","F13","wife-husband",2
"I54","I55","F13","father-child",3
"I53","I55","F13","mother-child",2
"I54","I56","F13","father-child",3
"I53","I56","F13","mother-child",2
"I52","I57","F14","wife-husband",0
"I57","I58","F14","father-child",1
"I52","I58","F14","mother-child",0
"I57","I59","F14","father-child",1
"I52","I59","F14","mother-child",0
"I57","I60","F14","father-child",1
"I52","I60","F14","mother-child",0
"I57","I61","F14","father-child",1
"I52","I61","F14","mother-child",0
"I59","I62","F15","wife-husband",1
"I62","I63","F15","father-child",2
"I59","I63","F15","mother-child",1
"I62","I64","F15","father-child",2
"I59","I64","F15","mother-child",1
"I65","I58","F16","wife-husband",2
"I58","I115","F16","father-child",1
"I65","I115","F16","mother-child",2
"I58","I116","F16","father-child",1
"I65","I116","F16","mother-child",2
"I66","I35","F17","wife-husband",4
"I35","I67","F17","father-child",3
"I66","I67","F17","mother-child",4
"I35","I106","F17","father-child",3
"I66","I106","F17","mother-child",4
"I35","I107","F17","father-child",3
"I66","I107","F17","mother-child",4
"I33","I68","F18","wife-husband",3
"I68","I244","F18","father-child",4
"I33","I244","F18","mother-child",3
"I68","I291","F18","father-child",4
"I33","I291","F18","mother-child",3
"I69","I34","F19","wife-husband",4
"I34","I87","F19","father-child",3
"I69","I87","F19","mother-child",4
"I34","I88","F19","father-child",3
"I69","I88","F19","mother-child",4
"I70","I31","F20","wife-husband",4
"I17","I71","F21","wife-husband",2
"I71","I450","F21","father-child",2
"I17","I450","F21","mother-child",2
"I79","I72","F22","wife-husband",5
"I72","I80","F22","father-child",5
"I79","I80","F22","mother-child",5
"I72","I81","F22","father-child",5
